0x000: 0xD5AA39E3
0x4E8: 0x5A079F23
0x4EC: 0xEA8C3770
0x4F0: 0xE98195E0
0x4F4: 0xAFF3E810
0x4F8: 0x28DDE46D
0x4FC: 0x6086E136
0x500: 0xC2ADA153
0x504: 0x1CA44F2F
0x508: 0x2BBCEC08
0x50C: 0x71913EC4
0x510: 0x4A880CA8
0x514: 0xFAA9C1F9
0x518: 0x9560EB12
0x51C: 0xCCC242EF
0x520: 0x1F134CF7
0x524: 0xF8F4913A
0x528: 0x3165C77F
0x52C: 0xD2E32905
0x530: 0x4C614858
0x534: 0x084D4389
0x538: 0x5B139278
0x53C: 0xC76632EB
0x540: 0xFD8A06D0
0x544: 0xF699B45A
0x548: 0x650C5445
0x54C: 0xB3DDC73A
0x550: 0x888AD1B9
0x554: 0xA2F8E302
0x558: 0x41B7A0ED
0x55C: 0x84DFA3F6
0x560: 0x30900087
0x564: 0xBF4A0524
0x568: 0xDACBC4B8
0x56C: 0xF0FD128D
0x570: 0x251B89D3
0x574: 0x3DC97A26
0x578: 0xC149E6DE
0x57C: 0x2904D9C3
0x580: 0x7573B8AB
0x584: 0xA553CC56
0x588: 0xA40A1010
0x58C: 0xD9C27F46
0x590: 0x4695ADF1
0x594: 0xEAB0243A
0x598: 0x830C6FC9
0x59C: 0x1D2EC49A
0x5A0: 0x403BC0D3
0x5A4: 0x179DC63A
0x5A8: 0x3AA3883C
0x5AC: 0xAA7E2DAB
0x5B0: 0x7140B720
0x5B4: 0x338F29D7
0x5B8: 0xCCC445E8
0x5BC: 0xFDECEE28
0x5C0: 0xFEAA5570
0x5C4: 0xE8E115A7
0x5C8: 0x9867F0A8
0x5CC: 0x6411686D
0x5D0: 0xE4125289
0x5D4: 0x3CE0E287
0x5D8: 0x88B64902
0x5DC: 0x0AC03C73
0x5E0: 0xDB136E2F
0x5E4: 0xBB6BB17A
0x5E8: 0xA841194D
0x5EC: 0x94FD7ECC
0x5F0: 0x42A37C8C
0x5F4: 0x117AC1BF
0x5F8: 0xD7BEC086
0x5FC: 0x5DDEAD9A
0x600: 0x8C9EF1C8
0x604: 0x20C02D8D
0x608: 0xF13F2BFA
0x60C: 0x720A87FC
0x610: 0xC87D0CD1
0x614: 0x5B28F09D
0x618: 0x61C061C0
0x61C: 0xADE1B055
0x620: 0xD753FC81
0x624: 0x2E64E9EC
0x628: 0xC756D1FE
0x62C: 0xB393935B
0x630: 0xBB2451FE
0x634: 0x6EF696CA
0x638: 0x151EBCE2
0x63C: 0x4E983253
0x640: 0x1212E732
0x644: 0x7C925B1B
0x648: 0x45B2B70C
0x64C: 0x459F68BD
0x650: 0xE83AF450
0x654: 0x003FEE8D
0x658: 0x914EC204
0x65C: 0xB325AB27
0x660: 0x3BC025D1
0x664: 0x0200795F
0x668: 0xBCB2C9D8
0x66C: 0xB81C4F34
0x670: 0x7BF69435
0x674: 0x673A42BE
0x678: 0x59DBB6A3
0x67C: 0x1CDD85DC
0x680: 0x32876D6C
0x684: 0xD791778F
0x688: 0x5EC03FF9
0x68C: 0xC73F3E78
0x690: 0xBC8B1728
0x694: 0xFEF7DD4F
0x698: 0xBD5AA485
0x69C: 0xEBB8BE75
0x6A0: 0x0E67B9B1
0x6A4: 0xDEF4BD6A
0x6A8: 0x358F9F5D
0x6AC: 0x3EDBF934
0x6B0: 0xAB12203E
0x6B4: 0x6DD36E3E
0x6B8: 0x93BB8831
0x6BC: 0x85DB59BE
0x6C0: 0x6C2CFF64
0x6C4: 0x9BAF9A81
0x6C8: 0x0EAF6283
0x6CC: 0xA48D4C2C
0x6D0: 0xD0DB8B2F
0x6D4: 0xE4B05214
0x6D8: 0xEE2FEB46
0x6DC: 0x5E549F25
0x6E0: 0x7D0C5DBA
0x6E4: 0xC3116FBD
0x6E8: 0x7E8579E3
0x6EC: 0x6569687F
0x6F0: 0x5179372C
0x6F4: 0xE5A7A42E
0x6F8: 0xB693E677
0x6FC: 0x9FAD3F86
0x700: 0x5E81486B
0x704: 0x87AB10AB
0x708: 0x1B4B0280
0x70C: 0x98504C97
0x710: 0x807ED7AF
0x714: 0xC7817B44
0x718: 0x1E754824
0x71C: 0x95D3318E
0x720: 0xD7CCE9C6
0x724: 0xDBDAB5F6
0x728: 0x617E5A68
0x72C: 0xA31EA811
0x730: 0x8FBF5BFB
0x734: 0x89D56FAE
0x738: 0x77869B38
0x73C: 0xA88263C8
0x740: 0x77CEC3C4
0x744: 0xB44A513D
0x748: 0x15E0D364
0x74C: 0xC70BCDA5
0x750: 0xEB7AD8DF
0x754: 0x9950918B
0x758: 0x082AF332
0x75C: 0xDB3BF317
0x760: 0x7A16C290
0x764: 0xB54349C7
0x768: 0xE99A5881
0x76C: 0xF69536CA
0x770: 0xE69D6AC9
0x774: 0x7DBA9163
0x778: 0x23A56FF7
0x77C: 0x4252515C
0x780: 0xC9F5DD88
0x784: 0x1336421A
0x788: 0x78311F5A
0x78C: 0x0D245838
0x790: 0xE4A56E92
0x794: 0x0563A0A7
0x798: 0x3DF8EA21
0x79C: 0x77BF9CD3
0x7A0: 0x4E0E0BB2
0x7A4: 0x09E6D5E3
0x7A8: 0xCBBFDFCE
0x7AC: 0x4E961BFA
0x7B0: 0x68D4DB23
0x7B4: 0xD36FAE8F
0x7B8: 0xD9D2C45A
0x7BC: 0x410A23DB
0x7C0: 0x23C2FECF
0x7C4: 0x400CE111
0x7C8: 0x77748209
0x7CC: 0xE296312E
0x7D0: 0xBB2A53FF
0x7D4: 0xF69642EB
0x7D8: 0x23A06E08
0x7DC: 0x00457A05
0x7E0: 0x5F275AA4
0x7E4: 0x76D60CE6
0x7E8: 0x4F305DE1
0x7EC: 0xF95B2BE5
0x7F0: 0x5D1ABE32
0x7F4: 0x92912821
0x7F8: 0xD12C035F
0x7FC: 0xCA914E25
