0x0000: 0x41D5F626
0x05C8: 0x3275CF58
0x05CC: 0x75209A7F
0x05D0: 0x50CD6BD4
0x05D4: 0x36FC3420
0x05D8: 0x5A524169
0x05DC: 0x1C0C05AC
0x05E0: 0x3238D414
0x05E4: 0x70145F90
0x05E8: 0x67DD5251
0x05EC: 0x63539D5E
0x05F0: 0x0BD13A82
0x05F4: 0x3256D77D
0x05F8: 0x392DB398
0x05FC: 0x44DFB159
0x0600: 0x4D952F64
0x0604: 0x56F4EBD2
0x0608: 0x75F5B359
0x060C: 0x7F107055
0x0610: 0x693142E5
0x0614: 0x6F443EFF
0x0618: 0x2451E89A
0x061C: 0x3C438E5C
0x0620: 0x128E1647
0x0624: 0x3D902C59
0x0628: 0x1E304FD0
0x062C: 0x2CE3A82C
0x0630: 0x31C4BCD6
0x0634: 0x7A222C2A
0x0638: 0x256AD9FB
0x063C: 0x7270EE01
0x0640: 0x26115A93
0x0644: 0x1EB8CFC6
0x0648: 0x2B1B5610
0x064C: 0x47F4E1ED
0x0650: 0x3F861305
0x0654: 0x6062E19D
0x0658: 0x756B15A6
0x065C: 0x17E5E469
0x0660: 0x3B8CBFFC
0x0664: 0x51805D4A
0x0668: 0x4B8D2188
0x066C: 0x4BAC5FAB
0x0670: 0x7EEBA510
0x0674: 0x51EFD439
0x0678: 0x07184379
0x067C: 0x51A0A852
0x0680: 0x5AAD1A76
0x0684: 0x007D87FB
0x0688: 0x66857816
0x068C: 0x1A3457E2
0x0690: 0x7B681D6A
0x0694: 0x02DDE3B5
0x0698: 0x3B332168
0x069C: 0x0C514BDE
0x06A0: 0x40E1581A
0x06A4: 0x43D1ECA5
0x06A8: 0x0F258C72
0x06AC: 0x772BAD74
0x06B0: 0x28E681D2
0x06B4: 0x3C354AB0
0x06B8: 0x75FCF93E
0x06BC: 0x11944F16
0x06C0: 0x61442061
0x06C4: 0x04567833
0x06C8: 0x2BDCE8FC
0x06CC: 0x0FA26DA4
0x06D0: 0x738E8C88
0x06D4: 0x536B5F4D
0x06D8: 0x587A9DD2
0x06DC: 0x68B68FA0
0x06E0: 0x672A4A35
0x06E4: 0x26C9C8F6
0x06E8: 0x2EEA1176
0x06EC: 0x1D4DB683
0x06F0: 0x7347D2CA
0x06F4: 0x6A75E1DD
0x06F8: 0x260C9D26
0x06FC: 0x0E0A27DD
0x0700: 0x7C047783
0x0704: 0x179B1861
0x0708: 0x6E3EBB7A
0x070C: 0x027A637A
0x0710: 0x1D6CF81F
0x0714: 0x05B429ED
0x0718: 0x35C87B4D
0x071C: 0x7B77FC1B
0x0720: 0x7B1A9B8C
0x0724: 0x7C27D48A
0x0728: 0x46380CCD
0x072C: 0x3F81D962
0x0730: 0x7C6AABD0
0x0734: 0x467903E8
0x0738: 0x3B8C11C6
0x073C: 0x1E6D7AE1
0x0740: 0x5170B918
0x0744: 0x55496EF6
0x0748: 0x11926895
0x074C: 0x5FC3B616
0x0750: 0x31B0E1BB
0x0754: 0x3294EE0E
0x0758: 0x3481B258
0x075C: 0x00C1FBA5
0x0760: 0x34E3F28B
0x0764: 0x47EAD35E
0x0768: 0x512D1888
0x076C: 0x5F77EE8E
0x0770: 0x223C0C3F
0x0774: 0x01098590
0x0778: 0x10C71102
0x077C: 0x276B5691
0x0780: 0x01003891
0x0784: 0x71A6734D
0x0788: 0x2673771D
0x078C: 0x33116D2A
0x0790: 0x6A307BE7
0x0794: 0x668FE4F9
0x0798: 0x755717FB
0x079C: 0x2F5C0338
0x07A0: 0x41C943F0
0x07A4: 0x49503A42
0x07A8: 0x21C596D8
0x07AC: 0x2EE52AD2
0x07B0: 0x501F9846
0x07B4: 0x43474D9D
0x07B8: 0x3C3EAB54
0x07BC: 0x409F3F56
0x07C0: 0x4CBA3B56
0x07C4: 0x5492E696
0x07C8: 0x00BC7E26
0x07CC: 0x5865430C
0x07D0: 0x0EC8C015
0x07D4: 0x16FEFCD6
0x07D8: 0x2B0888FA
0x07DC: 0x4EECF3BC
0x07E0: 0x48DB7CFC
0x07E4: 0x72241291
0x07E8: 0x4099347B
0x07EC: 0x16543746
0x07F0: 0x5DD38F0E
0x07F4: 0x393CAA3D
0x07F8: 0x18E455E7
0x07FC: 0x2916120D
0x0800: 0x4CD012F7
0x0804: 0x54FB9072
0x0808: 0x36F82306
0x080C: 0x439E4325
0x0810: 0x010CB6C7
0x0814: 0x57E455C3
0x0818: 0x7BA448BE
0x081C: 0x2B79E0DC
0x0820: 0x5B3D5DE1
0x0824: 0x4CFAF875
0x0828: 0x432703F3
0x082C: 0x5C89CFEE
0x0830: 0x29517AA2
0x0834: 0x35DFD0F4
0x0838: 0x0633B0AF
0x083C: 0x17EBF948
0x0840: 0x69B871D5
0x0844: 0x6B1EC299
0x0848: 0x3DB8F5E8
0x084C: 0x40137ECE
0x0850: 0x4B2D4AA6
0x0854: 0x217BDD28
0x0858: 0x79E81447
0x085C: 0x5D5B7017
0x0860: 0x655105D4
0x0864: 0x276AC70A
0x0868: 0x4544E268
0x086C: 0x16F68C6C
0x0870: 0x740B2F15
0x0874: 0x0CF9C12E
0x0878: 0x77FF1115
0x087C: 0x7EB10244
0x0880: 0x360D02E7
0x0884: 0x51E3B852
0x0888: 0x5AD18CC7
0x088C: 0x74C68E54
0x0890: 0x58A201DD
0x0894: 0x2C3FEF0E
0x0898: 0x2E1CF48B
0x089C: 0x35FFAC10
0x08A0: 0x083F0209
0x08A4: 0x498DBDBE
0x08A8: 0x09D283C4
0x08AC: 0x59E39829
0x08B0: 0x624A7A91
0x08B4: 0x3615CA3A
0x08B8: 0x027B3BF2
0x08BC: 0x7CBD7CA7
0x08C0: 0x661237E5
0x08C4: 0x6F961F17
0x08C8: 0x7A912CAA
0x08CC: 0x7C92E642
0x08D0: 0x774743B1
0x08D4: 0x06A305D0
0x08D8: 0x7F67884E
0x08DC: 0x5ADCC5B0
0x08E0: 0x13C4F127
0x08E4: 0x2600EC4B
0x08E8: 0x756AACA5
0x08EC: 0x038F514E
0x08F0: 0x3FAD4FA6
0x08F4: 0x540E28CC
0x08F8: 0x1DDCD692
0x08FC: 0x64E42546
0x0900: 0x4C6688AE
0x0904: 0x759974B7
0x0908: 0x0C1C0FD4
0x090C: 0x4FEE2186
0x0910: 0x1D23A29B
0x0914: 0x6CEE5A9D
0x0918: 0x3ABA2F24
0x091C: 0x15D19EC3
0x0920: 0x15E3907B
0x0924: 0x438849BD
0x0928: 0x47E97BA1
0x092C: 0x69459D42
0x0930: 0x579C754B
0x0934: 0x414030A3
0x0938: 0x72C12841
0x093C: 0x476FCF59
0x0940: 0x69D8CD49
0x0944: 0x1FEBDDEE
0x0948: 0x5B964D38
0x094C: 0x1253B541
0x0950: 0x208975AF
0x0954: 0x28F75AE2
0x0958: 0x69CA2494
0x095C: 0x793B3AF9
0x0960: 0x2CC5F5BA
0x0964: 0x5D6EAE0C
0x0968: 0x166B37AA
0x096C: 0x696C914B
0x0970: 0x2E5269C7
0x0974: 0x2692101A
0x0978: 0x79DD5755
0x097C: 0x02A21EB2
0x0980: 0x6DEA3AA1
0x0984: 0x660D539D
0x0988: 0x2CA8B4E9
0x098C: 0x5FCF23D6
0x0990: 0x0FCE3415
0x0994: 0x1A8F556A
0x0998: 0x7BF7F1BF
0x099C: 0x7F5D45BD
0x09A0: 0x0F13620E
0x09A4: 0x01A4A62D
0x09A8: 0x1BE533B6
0x09AC: 0x68CF9288
0x09B0: 0x16DAB272
0x09B4: 0x34F27B33
0x09B8: 0x42E8D8B9
0x09BC: 0x488C37B9
0x09C0: 0x23CFE16F
0x09C4: 0x2F86815D
0x09C8: 0x42E51F04
0x09CC: 0x2470BEAA
0x09D0: 0x5ED284A9
0x09D4: 0x7A977729
0x09D8: 0x63BEE135
0x09DC: 0x17EEFBE0
0x09E0: 0x1780088C
0x09E4: 0x4EAC9930
0x09E8: 0x7084F4FE
0x09EC: 0x3A3109F4
0x09F0: 0x5042736B
0x09F4: 0x3BCA0A56
0x09F8: 0x07EDEDFD
0x09FC: 0x627C941F
0x0A00: 0x7A9F988D
0x0A04: 0x54C538C6
0x0A08: 0x0E081827
0x0A0C: 0x1BB92B81
0x0A10: 0x46253171
0x0A14: 0x37195F1A
0x0A18: 0x1B3F39C9
0x0A1C: 0x65EB386F
0x0A20: 0x44B354F7
0x0A24: 0x179EDED8
0x0A28: 0x1156E010
0x0A2C: 0x1F5998B1
0x0A30: 0x6E22AE62
0x0A34: 0x21931888
0x0A38: 0x5A431BD7
0x0A3C: 0x606F1C2A
0x0A40: 0x6008EDC1
0x0A44: 0x22E92CC9
0x0A48: 0x1E6DB60C
0x0A4C: 0x6FD3BC8E
0x0A50: 0x34DC46B4
0x0A54: 0x342696A1
0x0A58: 0x10431134
0x0A5C: 0x336CD5F9
0x0A60: 0x33541CBF
0x0A64: 0x760AA30C
0x0A68: 0x35F290D4
0x0A6C: 0x1456C812
0x0A70: 0x6DEE596C
0x0A74: 0x13DAB913
0x0A78: 0x3DC0604B
0x0A7C: 0x1FEF2C69
0x0A80: 0x34FC38F7
0x0A84: 0x6D238021
0x0A88: 0x38412841
0x0A8C: 0x08A9E5E7
0x0A90: 0x53A43BE8
0x0A94: 0x2FE2258B
0x0A98: 0x000AF399
0x0A9C: 0x5A58A333
0x0AA0: 0x737ECFFE
0x0AA4: 0x45D0BEC5
0x0AA8: 0x35293006
0x0AAC: 0x56D9F9CB
0x0AB0: 0x249BE22F
0x0AB4: 0x35037E64
0x0AB8: 0x696944D4
0x0ABC: 0x7D8B41AA
0x0AC0: 0x14A37EF2
0x0AC4: 0x7AEB6A58
0x0AC8: 0x6A27DFDA
0x0ACC: 0x34743B35
0x0AD0: 0x411E0FD0
0x0AD4: 0x07E0CC24
0x0AD8: 0x79E624CE
0x0ADC: 0x3D635F9F
0x0AE0: 0x3989A524
0x0AE4: 0x4F1F1F72
0x0AE8: 0x56CAB140
0x0AEC: 0x7283F850
0x0AF0: 0x2C4D583E
0x0AF4: 0x21FFFAAE
0x0AF8: 0x5D834B77
0x0AFC: 0x3E99BB1D
0x0B00: 0x058DBEEA
0x0B04: 0x579C73C7
0x0B08: 0x2C7512CE
0x0B0C: 0x5DFBBAD2
0x0B10: 0x6FD06FE9
0x0B14: 0x09AF7FDF
0x0B18: 0x43DF308F
0x0B1C: 0x02907CF2
0x0B20: 0x7C763700
0x0B24: 0x2B8059A1
0x0B28: 0x1CC161A3
0x0B2C: 0x65FADFBD
0x0B30: 0x03647603
0x0B34: 0x5A37F273
0x0B38: 0x72350E52
0x0B3C: 0x496B371D
0x0B40: 0x0A8B03AC
0x0B44: 0x1BD6C69F
0x0B48: 0x3011AACD
0x0B4C: 0x38D1A987
0x0B50: 0x770BC07D
0x0B54: 0x727C4B83
0x0B58: 0x5A3D35F3
0x0B5C: 0x73FE5FA8
0x0B60: 0x07673457
0x0B64: 0x3A2C5617
0x0B68: 0x2B575CDD
0x0B6C: 0x2C7129E6
0x0B70: 0x7F876DB1
0x0B74: 0x1C7E9CBB
0x0B78: 0x296F4918
0x0B7C: 0x7C27AD16
0x0B80: 0x68342D84
0x0B84: 0x22F0E1D6
0x0B88: 0x7174A90C
0x0B8C: 0x10D222FD
0x0B90: 0x26C457FF
0x0B94: 0x0E99CF1D
0x0B98: 0x072F863F
0x0B9C: 0x120C676A
0x0BA0: 0x33483822
0x0BA4: 0x652914D6
0x0BA8: 0x337DBDEB
0x0BAC: 0x2CFEC626
0x0BB0: 0x52C54FB9
0x0BB4: 0x1DF2EDA8
0x0BB8: 0x4C934A51
0x0BBC: 0x708D8094
0x0BC0: 0x2ADD055C
0x0BC4: 0x6F413055
0x0BC8: 0x63C4E414
0x0BCC: 0x05B24ED1
0x0BD0: 0x699DD49D
0x0BD4: 0x048E01C6
0x0BD8: 0x486645D3
0x0BDC: 0x5A04C254
0x0BE0: 0x4887B90D
0x0BE4: 0x02CDB454
0x0BE8: 0x06DEEB0D
0x0BEC: 0x4E661D39
0x0BF0: 0x70F62303
0x0BF4: 0x59A4D86E
0x0BF8: 0x64D80640
0x0BFC: 0x3F4B4D25
0x0C00: 0x5FF19382
0x0C04: 0x63242537
0x0C08: 0x2AA944FE
0x0C0C: 0x2165E812
0x0C10: 0x180ADFC6
0x0C14: 0x0DA7A156
0x0C18: 0x6CF928FD
0x0C1C: 0x56AC6EAB
0x0C20: 0x36107857
0x0C24: 0x53BB50AE
0x0C28: 0x6DDDC5EB
0x0C2C: 0x54D635F6
0x0C30: 0x04C2CEC5
0x0C34: 0x31A08CD6
0x0C38: 0x4F9EC1A6
0x0C3C: 0x192B56DF
0x0C40: 0x17CC5F6E
0x0C44: 0x28469D8A
0x0C48: 0x3BECD09C
0x0C4C: 0x2B09A78F
0x0C50: 0x18EA73C9
0x0C54: 0x04391E45
0x0C58: 0x3FF91758
0x0C5C: 0x18D35046
0x0C60: 0x10984357
0x0C64: 0x07751549
0x0C68: 0x10685B66
0x0C6C: 0x0E182DBE
0x0C70: 0x65FE314A
0x0C74: 0x2568A6FC
0x0C78: 0x56B153F3
0x0C7C: 0x006BD8EE
0x0C80: 0x3DBE07E4
0x0C84: 0x0E30881B
0x0C88: 0x066DA65E
0x0C8C: 0x66CA9CBE
0x0C90: 0x4A680BD8
0x0C94: 0x232624A6
0x0C98: 0x0C8842CB
0x0C9C: 0x6504C089
0x0CA0: 0x469E678A
0x0CA4: 0x0EE1A0FD
0x0CA8: 0x0E9998F2
0x0CAC: 0x4F4804DB
0x0CB0: 0x10DF9CDB
0x0CB4: 0x7FDE5B84
0x0CB8: 0x081579C8
0x0CBC: 0x0ABC50FC
0x0CC0: 0x075107A7
0x0CC4: 0x673F6BF0
0x0CC8: 0x6E5D4109
0x0CCC: 0x2BD8B0C7
0x0CD0: 0x7FB76667
0x0CD4: 0x499D6E26
0x0CD8: 0x0386A3C2
0x0CDC: 0x14C7EB2F
0x0CE0: 0x6825C68E
0x0CE4: 0x66A452A6
0x0CE8: 0x36526AF7
0x0CEC: 0x65E8B4DE
0x0CF0: 0x7A1F3DA6
0x0CF4: 0x00C22D69
0x0CF8: 0x1143B7FF
0x0CFC: 0x059FA3E5
0x0D00: 0x34CCC3A7
0x0D04: 0x6938F4C0
0x0D08: 0x2CF63352
0x0D0C: 0x260C7238
0x0D10: 0x2C5A7F6D
0x0D14: 0x5F14B553
0x0D18: 0x79A74CCF
0x0D1C: 0x3B332CBE
0x0D20: 0x266BA560
0x0D24: 0x6714EFA0
0x0D28: 0x50D1F69E
0x0D2C: 0x3F15EFF9
0x0D30: 0x085D1C39
0x0D34: 0x072E288C
0x0D38: 0x5E5610E7
0x0D3C: 0x49E79BA1
0x0D40: 0x40F08440
0x0D44: 0x19C4AA9A
0x0D48: 0x210E1E3C
0x0D4C: 0x59CCC596
0x0D50: 0x756DA6C5
0x0D54: 0x0744935F
0x0D58: 0x69E8ED29
0x0D5C: 0x636DB230
0x0D60: 0x19023B66
0x0D64: 0x3FC49B0F
0x0D68: 0x388B0111
0x0D6C: 0x7DE8596D
0x0D70: 0x3D4476E1
0x0D74: 0x3460759B
0x0D78: 0x4833643D
0x0D7C: 0x293DD1EF
0x0D80: 0x47BBB338
0x0D84: 0x58C37FCE
0x0D88: 0x49FB3AA7
0x0D8C: 0x636E10BD
0x0D90: 0x75B19161
0x0D94: 0x05F66C55
0x0D98: 0x7869E31F
0x0D9C: 0x783FC21E
0x0DA0: 0x08128787
0x0DA4: 0x74ABA5C5
0x0DA8: 0x59EB3CE9
0x0DAC: 0x4440A627
0x0DB0: 0x518FF238
0x0DB4: 0x6FFD8E72
0x0DB8: 0x6DEFDE28
0x0DBC: 0x08CFFCE5
0x0DC0: 0x301AF847
0x0DC4: 0x6963FE9D
0x0DC8: 0x259799D4
0x0DCC: 0x3621AAD8
0x0DD0: 0x7459FBF2
0x0DD4: 0x48269424
0x0DD8: 0x4A6C89BD
0x0DDC: 0x49160DB2
0x0DE0: 0x1D6A08A2
0x0DE4: 0x4EE9D48E
0x0DE8: 0x1CACA8B8
0x0DEC: 0x11084093
0x0DF0: 0x5C26743E
0x0DF4: 0x3FD5EAB6
0x0DF8: 0x4B2E2AF1
0x0DFC: 0x21A82ADE
0x0E00: 0x0EFB8FB4
0x0E04: 0x254A5F54
0x0E08: 0x34F195E4
0x0E0C: 0x1799D34F
0x0E10: 0x237E6E43
0x0E14: 0x292680A9
0x0E18: 0x6AB8053F
0x0E1C: 0x0233F576
0x0E20: 0x133DEA41
0x0E24: 0x1EECE3D7
0x0E28: 0x231B2C1B
0x0E2C: 0x5DBDB98E
0x0E30: 0x3A9542D7
0x0E34: 0x35048366
0x0E38: 0x731767A7
0x0E3C: 0x1140C739
0x0E40: 0x77BF8391
0x0E44: 0x115C659B
0x0E48: 0x0976366A
0x0E4C: 0x38E700E8
